grid_dim,n_train,n_holdout,n_test,p_features,polykernel_degree,polykernel_noise_half_width,SPOplus_spoloss_test,LS_spoloss_test,SSVM_spoloss_test,RF_spoloss_test,Absolute_spoloss_test,Huber_spoloss_test,Baseline_spoloss_test,SPOplus_hammingloss_test,LS_hammingloss_test,SSVM_hammingloss_test,RF_hammingloss_test,Absolute_hammingloss_test,Huber_hammingloss_test,Baseline_hammingloss_test,zstar_avg_test
2,100,25,10000,5,1,0,9.373130225240445e-7,0,5.580456314950952e-4,0.031324950387152536,0,0.3162100428202438,0.3162100428202438,4e-4,0,0.0382,0.27,0,1.0146,1.0146,7.682779199798993
2,100,25,10000,5,1,0,1.7828170292205758e-5,0,4.4059778142224417e-4,0.01801057447249583,0,0.25331859047477717,0.2569799657341817,0.0026,0,0.0394,0.2018,0,0.9962,1.0038,7.755724940629845
2,100,25,10000,5,1,0,6.86684178673163e-5,0,0.0012124356784938778,0.03175383523139701,0,0.428564604853711,0.428564604853711,0.0132,0,0.0466,0.2326,0,0.9778,0.9778,7.557178183059799
2,100,25,10000,5,1,0,1.565402322867528e-4,0,9.999306885599558e-4,0.011428855911631168,0,0.17757936551364661,0.17456103278250779,0.0348,0,0.072,0.2004,0,1.0036,0.9964,7.828485827172968
2,100,25,10000,5,1,0,1.531792378945056e-5,0,5.601723801809827e-4,0.03311386676310698,0,0.43662590079512664,0.43662590079512664,0.0014,0,0.0338,0.2474,0,1.0062,1.0062,7.552770375835925
2,100,25,10000,5,1,0.5,0.6201633954408813,0.604140837952491,0.6421322500034383,0.6686916272036959,0.642393592778384,0.6427725634610125,1.0217363732350926,0.7352,0.7244,0.7478,0.7738,0.754,0.7542,0.9884,6.943495696250847
2,100,25,10000,5,1,0.5,0.649463882008356,0.6942666237776501,0.6483399555584767,0.7510307105111984,0.717813473620585,0.92032070711594,1.0119318661887797,0.7576,0.7786,0.7598,0.8112,0.8022,0.9232,0.9836,6.9910219870184855
2,100,25,10000,5,1,0.5,0.7564292944498555,0.7488612371548863,0.7403133776972995,0.7934752405876053,0.79259566617889,0.7774051099910427,0.9592521512581108,0.8554,0.8494,0.845,0.882,0.8782,0.8648,0.9822,7.068798912775556
2,100,25,10000,5,1,0.5,0.6213272736192432,0.634519917550498,0.6691391588547231,0.6738214936711339,0.6505679769675486,0.6505679769675486,1.0110794238352152,0.738,0.7462,0.7758,0.781,0.7612,0.7612,0.9852,6.9965472364532735
2,100,25,10000,5,1,0.5,0.6605328816878722,0.6255876677446398,0.7557936275894115,0.663559376678218,0.6768886548528003,0.6553012126254073,1.0973721990015497,0.743,0.7208,0.8046,0.7502,0.7532,0.7396,1.0398,6.892026889672677
2,100,25,10000,5,2,0,0.013763153863841162,0.014597196918647838,0.024413665906681595,0.23672769368152,0.01110096465704663,0.011027999311496799,2.839074334454506,0.0592,0.0638,0.0708,0.2752,0.0502,0.0506,1.0088,18.638990652461832
2,100,25,10000,5,2,0,0.0013382145159117262,0.008219743179484741,0.00489952929955826,0.2975275204764427,0.0034932336969385283,0.0034932336969385283,3.506394378975117,0.0176,0.0502,0.0336,0.2242,0.028,0.028,0.998,17.334848833326426
2,100,25,10000,5,2,0,0.019023127636929354,0.02415730300847398,0.020269518191140014,0.1837485875113398,0.01790472019323007,0.01790472019323007,1.7559687585282937,0.0838,0.0948,0.0924,0.289,0.0788,0.0788,0.9906,19.039613047189523
2,100,25,10000,5,2,0,0.017406655823992905,0.014849227493163685,0.014922507099904874,0.1990716180039188,0.017064024348634826,0.017064024348634826,1.525956813379538,0.0874,0.0732,0.0748,0.3024,0.0844,0.0844,0.9962,19.544406780381983
2,100,25,10000,5,2,0,0.001088430801790771,0.01996127344206024,0.022655950107401117,0.22394226740943599,0.00519129904326172,0.00519129904326172,1.7611378377446316,0.0206,0.1058,0.0964,0.2866,0.0484,0.0484,1.0034,18.673127276344673
2,100,25,10000,5,2,0.5,1.1696022945133993,1.1392530910078258,1.1677251359226994,1.4274124287387555,1.4440494255905743,1.4190509165609824,3.7412005797451267,0.558,0.5594,0.5608,0.6244,0.6262,0.6192,1.0208,17.209557656397177
2,100,25,10000,5,2,0.5,1.3742648243333841,1.257977586335957,1.35765417455367,1.4012162905481917,1.1962781827831308,1.258326830590695,3.4137532737600393,0.5736,0.5516,0.5678,0.5882,0.5388,0.5526,0.9978,17.41456174238243
2,100,25,10000,5,2,0.5,1.5399789943408724,1.6070305871046768,1.5249388986474255,2.020697961706745,1.6446653896760837,1.6446653896760837,2.805249459185291,0.6876,0.7074,0.6788,0.8014,0.7212,0.7212,1.036,18.021833083831826
2,100,25,10000,5,2,0.5,3.077954426068021,3.077954426068021,3.077954426068021,1.628000486818049,1.7167211712433215,1.6785553480958377,3.077954426068021,1.0236,1.0236,1.0236,0.6844,0.6916,0.687,1.0236,17.78557059854374
2,100,25,10000,5,2,0.5,1.1248514006083925,1.1464949560734048,1.1486581644360758,1.4258465815554833,1.2755367813830174,1.2087296651619872,3.227717717835132,0.5252,0.54,0.5284,0.6028,0.5564,0.5508,1.04,17.79998195651443
2,100,25,10000,5,4,0,2.8318934697000375,1.660183286284372,2.6757684045859835,4.838810055370113,2.4043608938894367,2.558530124160856,44.176053638935386,0.2232,0.1676,0.2166,0.2946,0.1648,0.1656,0.9888,200.3182667853638
2,100,25,10000,5,4,0,0.7113541997576905,0.9208931902803903,1.1124092312529765,7.052700608005329,0.7397720581254538,0.7397720581254538,54.18962593692315,0.085,0.0982,0.113,0.318,0.088,0.088,1.0184,164.5759776504954
2,100,25,10000,5,4,0,0.7558922457746902,0.6732331090901235,0.674752013966552,6.209378669321785,0.8004801529062737,0.8004801529062737,56.179999614420765,0.0904,0.0816,0.0842,0.2766,0.076,0.076,0.9356,139.91273310761764
2,100,25,10000,5,4,0,1.706489142138742,3.4692262362383954,1.7843182882147786,12.550984283914419,2.175437567640926,1.6425110394755142,60.24342084669563,0.1554,0.239,0.1594,0.3944,0.1766,0.15,0.9396,173.3087727225937
2,100,25,10000,5,4,0,0.6640562427656407,0.4458153789270609,0.9565013722374653,2.3307103301553425,1.5661128831420306,0.687720568269254,46.76172383801744,0.0824,0.1044,0.106,0.2074,0.1526,0.0988,0.9742,182.62299068300794
2,100,25,10000,5,4,0.5,8.711429826592509,10.48605175706763,7.678213581479523,19.433333863576628,9.17690813179754,7.817320032343361,40.89874647429867,0.3442,0.3802,0.3188,0.523,0.3486,0.3262,1.0838,156.8225196439419
2,100,25,10000,5,4,0.5,7.200580823090012,7.512867215699588,8.125642606700733,11.55096010447187,8.217447886245067,8.124011245280908,65.36376275198532,0.2748,0.286,0.2964,0.3626,0.3016,0.3002,1.0006,179.8860198895853
2,100,25,10000,5,4,0.5,8.040537599571822,7.412798364340028,9.388846554052844,11.194007822401314,7.448337368270091,7.448337368270091,39.82731957081343,0.3562,0.3552,0.38,0.4288,0.3466,0.3466,0.9856,147.4984625623117
2,100,25,10000,5,4,0.5,7.016860925253526,6.920534624320395,8.049664681066782,10.221366912085193,7.174133192840105,7.174133192840105,36.222523623786344,0.3914,0.395,0.4262,0.4662,0.3912,0.3912,1.0194,148.8949188493113
2,100,25,10000,5,4,0.5,14.366310997201426,16.141708703399882,13.40172289267306,17.86524368484579,17.29941911187475,17.29941911187475,30.58555612611844,0.6048,0.6286,0.5922,0.666,0.6522,0.6522,0.9606,176.89011900317635
2,100,25,10000,5,6,0,21.723475457765257,98.31886424944003,68.12604218399133,341.09844211809656,26.11273780281046,26.11273780281046,1070.332998692255,0.1412,0.2488,0.1892,0.4118,0.1406,0.1406,0.935,2572.9459784637784
2,100,25,10000,5,6,0,132.58240438078002,280.5552126242756,132.98161640418127,334.960783272738,161.36918871704032,164.30374010313884,704.3531074927232,0.2892,0.4676,0.2792,0.5966,0.3464,0.3448,1.1538,2168.4246380147943
2,100,25,10000,5,6,0,41.62596870782561,85.83902880728606,42.43697098982749,183.9904590297491,51.52307880762641,51.52307880762641,1034.7650475746125,0.1762,0.2394,0.1806,0.3516,0.1854,0.1854,0.9778,1540.426351397241
2,100,25,10000,5,6,0,18.87872926562185,26.661734451503683,2.303553733917429,115.04883117798776,17.8117927282243,17.8117927282243,571.951605600429,0.136,0.1962,0.043,0.3392,0.1734,0.1734,1.002,2041.5572659300997
2,100,25,10000,5,6,0,91.09637580224553,61.339677061823394,101.7385816751479,171.93551662828315,120.4303071513382,70.85677128415918,784.357844425004,0.1988,0.2004,0.2116,0.3582,0.2288,0.1966,0.9088,1855.2367974953286
2,100,25,10000,5,6,0.5,370.8469019658899,121.65980258193812,320.89708032408765,266.90639308870055,1525.5279552701925,229.02002850071392,1525.5279552701925,0.3816,0.2522,0.357,0.3736,0.8874,0.3026,0.8874,2120.8099814601355
2,100,25,10000,5,6,0.5,138.78885072642387,150.91752323429728,128.58914323436875,233.19178719172743,288.120322390932,257.90173764045943,653.0477048362903,0.3536,0.3768,0.3366,0.529,0.462,0.4362,0.988,2178.4934246454336
2,100,25,10000,5,6,0.5,202.01321753307096,298.82123015312163,200.225895170152,292.6844182228886,174.68177322861587,172.75362114400215,766.7825268892741,0.361,0.4146,0.3596,0.4634,0.32,0.315,0.913,2491.7839737461545
2,100,25,10000,5,6,0.5,235.18070782841923,183.6716498280093,167.63948873519598,167.8955260597566,121.86468820891545,113.55626823857341,580.0361294667911,0.4432,0.4316,0.3886,0.4294,0.3612,0.3342,0.9494,1997.963249979379
2,100,25,10000,5,6,0.5,213.32952553452802,374.6287825906687,289.79396544055373,487.9187274947341,263.8838358684822,216.9435306514178,801.1667636523068,0.392,0.5464,0.3988,0.6066,0.4284,0.4014,1.0002,2756.5970599444477
2,100,25,10000,5,8,0,150.4531182051251,1357.1368212551236,61.54846629814495,2414.4108801022207,338.3659470621277,338.3659470621277,5916.164980242526,0.1342,0.3516,0.0768,0.5616,0.1916,0.1916,0.9916,22795.96574530748
2,100,25,10000,5,8,0,1151.2023758668474,4823.58362087243,3205.028906921615,3785.53973252778,3839.6099808990493,2487.645714380355,11572.806452340556,0.2108,0.4564,0.3072,0.4842,0.3964,0.3886,1.049,30955.968949425303
2,100,25,10000,5,8,0,319.3245514508627,466.19631908961907,670.4316601306957,1173.762015831474,240.9476903883694,240.9476903883694,12968.47710739051,0.1638,0.1986,0.1512,0.3342,0.1376,0.1376,0.9566,16320.524571597398
2,100,25,10000,5,8,0,2464.191011138532,5892.278710679541,3028.1916156376233,8818.881554159654,5619.738884273855,7162.142033295996,10067.19722163057,0.2226,0.4882,0.226,0.746,0.4284,0.5492,1.087,27037.857500495375
2,100,25,10000,5,8,0,5962.483096236107,1936.8269521751006,1481.1000149442552,3570.15849543248,1851.3854128840044,2040.2419174219203,5962.483096236107,0.8404,0.343,0.2756,0.4322,0.3978,0.3532,0.8404,29053.621218916214
2,100,25,10000,5,8,0.5,2273.2605702299566,5641.891730603319,2841.909642757897,4232.118309739168,1310.1334819316805,1310.1334819316805,19595.344840110578,0.2106,0.3222,0.2234,0.3748,0.1956,0.1956,1.0674,24249.965500355465
2,100,25,10000,5,8,0.5,1228.7808713231175,4602.027848254701,1558.0295393858175,8406.702438097609,1478.8907044872897,1478.8907044872897,24624.54952361025,0.157,0.2486,0.1698,0.4626,0.1728,0.1728,1.0402,28652.55059173089
2,100,25,10000,5,8,0.5,744.4485440851225,1242.4071842519443,787.3251967587477,1616.5665047284772,1027.3139528100598,1018.5927086090456,13567.179655547612,0.2052,0.2654,0.1922,0.3232,0.1876,0.21,0.951,16195.019004518186
2,100,25,10000,5,8,0.5,2288.571835561972,3436.8512900945007,2106.3773390331135,5905.494996055777,2506.054863793146,2506.054863793146,19092.901062983055,0.2416,0.2612,0.2388,0.4424,0.2774,0.2774,0.8644,24596.886143070016
2,100,25,10000,5,8,0.5,2534.972858919309,2862.2707577925094,2750.0049940721347,4187.950105313681,2274.569690744454,2319.660914931824,7124.633134955216,0.4076,0.4854,0.4446,0.6962,0.4682,0.4676,0.9718,21670.759176632022
2,1000,250,10000,5,1,0,1.1590453875307727e-5,0,6.357458352636502e-6,0.007420028874453716,0,0.4682554591134075,0.4682554591134075,0.001,0,0.0034,0.0992,0,1.0066,1.0066,7.538345964312839
2,1000,250,10000,5,1,0,9.950562979978983e-8,0,1.992156571640793e-5,0.006783419813748745,0,0.35874175060445584,0.35874175060445584,2e-4,0,0.006,0.1124,0,1.007,1.007,7.650616647459812
2,1000,250,10000,5,1,0,4.494173681873903e-6,0,3.209900006359119e-5,0.005717908805123177,0,0.4602836163261341,0.473087388490249,0.001,0,0.0076,0.0944,0,0.991,1.009,7.53788595289218
2,1000,250,10000,5,1,0,4.1311201994911786e-6,0,5.876111692658447e-7,0.004491595194729957,0,0.35886919079718227,0.35886919079718227,8e-4,0,0.0014,0.0832,0,0.993,0.993,7.639887676533534
2,1000,250,10000,5,1,0,5.691764769535635e-6,0,2.2182139044542915e-6,0.005327464714512406,0,0.31314995762393477,0.31314995762393477,8e-4,0,0.0026,0.1052,0,1.0138,1.0138,7.711206878036453
2,1000,250,10000,5,1,0.5,0.7167093757857781,0.7195257215901656,0.7209353721165125,0.7604602566437367,0.7988321019359116,0.72779909263068,0.9806109532959999,0.8358,0.839,0.8334,0.8544,0.8804,0.8416,1.022,7.032367018077121
2,1000,250,10000,5,1,0.5,0.6929348787058683,0.6932492876025527,0.6923144885548324,0.7427524726293017,0.6885389071346986,0.6897685113185889,0.9831210407065176,0.8032,0.8056,0.8038,0.8308,0.8028,0.803,1.0074,7.004636058041261
2,1000,250,10000,5,1,0.5,0.6324188938734358,0.6163525862900064,0.6147300899515984,0.6516718353401637,0.6373492830049191,0.6418296880106329,1.0429732736702382,0.7348,0.7244,0.7228,0.7484,0.7408,0.7446,1.0276,6.974172344989391
2,1000,250,10000,5,1,0.5,0.5916013194915213,0.5926396628675225,0.6024026210819142,0.6328398608616478,0.5940732272762032,0.5927742373387752,1.0536554143277341,0.7046,0.7064,0.7112,0.7284,0.7032,0.7028,1.0316,6.931682067700806
2,1000,250,10000,5,1,0.5,0.7395105740071908,0.7514657567340451,0.736152785917571,0.8323547550264649,0.7421398746008953,0.7406235314741242,0.984788271378896,0.8436,0.8518,0.839,0.898,0.8452,0.8436,1.0076,7.031034716811379
2,1000,250,10000,5,2,0,0.010116514228019917,0.010371849231785324,0.009966754466898516,0.031678680684484255,0.011385523893604517,0.010113167811729204,1.5406889280205287,0.0642,0.064,0.0626,0.1232,0.0666,0.0626,1.0102,19.213107336851156
